And we're going to tell you some stories from the sea here in video.	Wir werden Ihnen einige Geschichten über das Meer in Videoform erzählen .
Of communism -- of valuing the society and the state over the individual and squashing, inadvertently, creativity, individual self-expression and innovation.	Von Kommunismus -- von Gesellschaft und Staat mehr hoch achten , als die Einzelperson und quetschen , versehentlich , der Kreativität , dem individuellen Selbstausdruck und der Innovation .
And instead, what do we value?	Und stattdessen , worauf legen wir Wert ?
Because it's shown the way we apply, generate and use knowledge is affected by our social and institutional context, which told us what in communism?	Es ist bekannt , dass die Art und Weise , wie wir Wissen gebrauchen , generieren und nutzen , ist von unserem Sozial- und Istitutionalkontext betroffen , der was uns bei dem Kommunismus gelehrt hat ?
To be serious.	Ernst zu sein .
To be really, really serious.	Wirklich , richtig ernst zu sein .
It did.	Das ist passiert .
Be serious.	Sei ernst .
I can't tell you how many times I've been scolded in the park for letting my kids play on the ground.	Ich kann nicht sagen wie viele Male ich beschimpft geworden bin , weil ich meine Kinder auf dem Boden spielen lasse .
Heaven forbid they play in the dirt, the kal, or even worse, lokvi, water -- that will kill them.	Gott bewahre ,dass ich meine Kinder im Schlamm spielen lasse , oder sogar in Pfützen , Wasser , das wird sie töten .
I have been told by babas and dyados that we shouldn't let our kids play so much because life is serious and we need to train them for the seriousness of life.	Ich bin von Großmüttern und Großvätern beraten worden , dass Kinder nicht so viel spielen sollen , weil das Leben ernst ist , und sie sollen erzogen werden , dass das Leben ernst ist .
We have a serious meme running through.	Wir haben ein durchlaufendes Meme - ernst zu sein .
It's a social gene running through us.	Das ist ein Gen der Gesellschaft .
It's a serious gene.	Das ist ein seriöser Gen .
It's 45 years of it that's created what I call the "baba factor."	Es existiert seit 45 Jahren , und verursachte das Entstehen von dem Großmutterfaktor .
And here's how it works.	Und so funktioniert er .
But then what happens in step three?	Aber was wird im Schritt drei passieren ?
I want to go back to work because I need to further my career or I just want to go have coffees.	Ich will wieder arbeiten , weil ich meine Kariere fördern will oder nur Kaffee trinken will .
I'm going to give bebko to baba.	Ich lasse mein Baby bei der Großmutter .
But we need to remember that baba's been infected by the serious meme for 45 years.	Aber wir müssen uns daran erinnern , dass Großmutter seit 45 Jahren mit dem seriösen Gen infiziert ist .
So what happens?	Was wird geschehen ?
She passes that virus on to baby, and it takes a really, really, really long time -- as the redwood trees -- for that serious meme to get out of our operating system.	Sie gibt dem Baby das Virus weiter , und es geht sehr , sehr , sehr viel Zeit verloren -- wie die Sequoias -- um dieses seriöse Meme von unserem System zu entfernen .
What happens then?	Was wird dann geschehen ?
It goes into education where we have an antiquated education system that has little changed for 100 years, that values rote learning, memorization and standardization, and devalues self-expression, self-exploration, questioning, creativity and play.	Es infiziert unser Ausbildungssystem , das auch veraltet und seit 100 Jahren wenig verändert worden ist , und das Auswendiglernen schätzt , Auswendiglernen und Standardisierung , und wertet Selbstausdruck und Selbsterforschung , Befragung , Kreativität und Spielen ab .
It's a crap system.	Dieses System ist kaputt .
True story: I went looking for a school for my kid.	Eine wahre Geschichte: Ich suchte nach einer Schule für mein Kind .
We went to this prestigious little school and they say they're going to study math 10 times a week and science eight times a week and reading five times a day and all this stuff.	Wir gingen in eine renommierte kleine Schule und da sagte man uns , Kinder werden 10 Mal pro Woche Mathe lernen und Wissenschaft acht Mal pro Woche und lesen fünf Mal pro Woche und so weiter .
And we said, "Well what about play and recess?"	Und wir fragten , "Na gut , aber wie geht es mit Spielen und Schulpausen ?"
And we said, "He's five."	Und wir sagten , "Er ist nur fünf Jahre alt ."
And it's a crime that our education system is so serious because education is serious that we're creating mindless, robotic workers to put bolts in pre-drilled holes.	Und es ist ein Verbrechen , dass unser Ausbildungssystem so seriös ist , weil Ausbildung so seriös ist , dass wir hirnlose Robote produzieren , robotisierte Arbeitskraft die Bolzen in vorgebohrten Löchern drehen .
But I'm sorry, the problems of today are not the problems of the Industrial Revolution.	Aber verzeihen Sie mir , die Probleme heute sind nicht die Probleme von der industriellen Revolution .
We need adaptability, the ability to learn how to be creative and innovative.	Wir brauchen Anpassungsfähigkeit , die Fähigkeit zu lernen , kreativ und innovativ zu sein .
We don't need mechanized workers.	Wir brauchen keine mechanisierte menschliche Arbeitskräft .
But no, now our meme goes into work where we don't value play.	Aber jetzt geht unser Meme arbeiten , wo wir Spielen gar nicht schätzen .
We create robotic workers that we treat like assets, to lever and just throw away.	Wir produzieren robotisierte menschliche Arbeitskraft , die wir wie Aktiva behandeln , die wir stemmen und die wir dann wegwerfen .
What are qualities of a Bulgarian work?	Wie beschreibt man die Arbeit in Bulgarien ?
Autocratic -- do what I say because I'm the chef.	Autokratisch -- Mache was ich sage , weil ich der Boss bin .
I'm the boss and I know better than you.	Ich bin der Boss und ich weiss ich bin besser als dich .
Untrusting -- you're obviously a criminal, so I'm going to install cameras.	Misstrauisch -- Du bist offensichtlich ein Kriminelle , so installiere ich Überwachungskameras .
Controlling -- you're obviously an idiot, so I'm going to make a zillion little processes for you to follow so you don't step out of the box.	Beaufsichtigend -- Du bist offensichtlich ein Idiot , so mache ich für dich viele kleine Prozessen , denen du folgen musst und nicht ausscheren sollst .
So they're restrictive -- don't use your mobile phone, don't use your laptop, don't search the Internet, don't be on I.M.	So sie sind einschränkend -- benutze nicht dein Handy , benutze nicht dein Laptop , surfe nicht in Internet , sei nicht im I .M .
That's somehow unprofessional and bad.	Das ist irgendwie unprofessionell und schlecht .
And at the end of the day, it's unfulfilling because you're controlled, you're restricted, you're not valued and you're not having any fun.	Und am Ende des Tages , gibt es keine Erfüllung , weil du beaufsichtigt , eingeschränkt und nicht bewertet geworden bist , und das macht kein Spaß .
In social, in education and in our business, don't value play.	In der Gesellschaft , in der Ausbildung und in unseren Unternehmen , schätzen wir Spielen nicht .
And that's why we're last, because we don't value play.	Und darum sind wir auf dem letzten Platz , weil wir Spielen nicht schätzen .
It can't be because of play.	Das kann nicht sein , nur wegen des Spielens .
We have the serious meme in us.	Wir haben dieses seröse Meme in uns .
Well I'm going to say no.	Ich werde aber nein sagen .
And I will prove it to you in the next part of the speech -- that play is the catalyst, it is the revolution, that we can use to transform Bulgaria for the better.	Und ich werde das Ihnen beweisen in dem folgenden Teil dieses Vortrags -- dass Spielen der Katalysator , die Revolution ist , und wir können es benutzen , um Bulgarien zum Besseren zu transformieren .
Play: our brains are hardwired for play.	Spielen: Unsere Gehirne sind zum Spielen programmiert .
Evolution has selected, over millions and billions of years, for play in animals and in humans.	Evolution hat es ausgewählt , millione und billione Jahre bevor , für Tiere und Menschen .
And you know what?	Und wissen Sie was ?
Evolution does a really, really good job of deselecting traits that aren't advantageous to us and selecting traits for competitive advantage.	Evolution macht es sehr , sehr gut , im Abwahl von Eigenschaften , die nicht vorteilhaft für uns sind und im Wahl von Eigenschaften , die leistungsfähig und vorteilhaft sind .
Nature isn't stupid, and it selected for play.	Natur ist nicht dumm und hat Spielen ausgewählt .
Maybe you didn't know that.	vielleicht wussten Sie das nicht .
But when they're playing, they're learning the social order and dynamics of things.	Aber wenn sie spielen , lernen sie die Regeln der Gesellschaft und die Dynamik der Dinge .
Rats play, but what you might not have known is that rats that play more have bigger brains and they learn tasks better, skills.	Ratten spielen , aber vielleicht wussten Sie nicht , dass Ratten , die mehr gespielt haben , grössere Gehirne haben , und sie lernen Aufgaben besser , als auch Fähigkeiten .
But what you may not know is that kittens deprived of play are unable to interact socially.	Aber was sie vielleicht nicht wussten , ist dass Kätzchen , die nicht gespielt haben , sozial schwach sind .
They can still hunt, but they can't be social.	Sie können jagen , aber sie haben keine soziale Fähigkeiten .
Bears play.	Bären spielen .
But what you may not know is that bears that play more survive longer.	Aber was Sie vielleicht nicht wussten , ist dass Bären , die mehr gespielt haben , länger leben .
It's not the bears that learn how to fish better.	Nicht die Bären , die besser zu fischen gelernt haben .
It's the ones that play more.	Die Bären , die mehr gespielt haben .
And a final really interesting study -- it's been shown, a correlation between play and brain size.	Und die letzte Untersuchung , die veröffentlicht wurde , zeigt einen Zusammenhang zwischen Spielen und der Grösse des Gehirns .
The more you play, the bigger the brains there are.	Je mehr Sie spielen , desto grösser ist Ihr Gehirn .
Dolphins, pretty big brains, play a lot.	Delphine , die sehr grosse Gehirne haben , spielen viel .
But who do you think with the biggest brains are the biggest players?	Aber wer glauben Sie , ist der grösste Spieler mit dem grössten Gehirn ?
Yours truly: humans.	Ja , genau , die Menschen .
